country,total_confirmed,total_death,death_per,death_per_round
Afghanistan,209451,7896,3.7698554793245203,4
Albania,334457,3598,1.075773567304616,1
Algeria,271496,6881,2.534475646050034,3
Andorra,47890,165,0.34453956984756734,0
Angola,105288,1933,1.835916723653218,2
Antarctica,11,0,0.0,0
Antigua and Barbuda,9106,146,1.6033384581594552,2
Argentina,10044957,130472,1.2988806223859395,1
Armenia,447308,8727,1.951004676866946,2
Australia,11399460,19574,0.1717098880122392,0
Austria,5961143,21970,0.3685534804315213,0
Azerbaijan,828825,10138,1.2231773896781588,1
Bahamas,37491,833,2.2218665813128484,2
Bahrain,710693,1553,0.21851910740643288,0
Bangladesh,2037871,29445,1.4448902801011447,1
Barbados,106798,579,0.5421449839884642,1
Belarus,994037,7118,0.7160699249625517,1
Belgium,4739365,33814,0.7134711084712826,1
Belize,70757,688,0.972341959099453,1
Benin,27999,163,0.5821636487017393,1
Bhutan,62627,21,0.033531863253868144,0
Bolivia,1194277,22365,1.872681128414932,2
Bosnia and Herzegovina,401729,16280,4.052483141620346,4
Botswana,329758,2801,0.849410780026565,1
Brazil,37076053,699276,1.8860583676477103,2
Brunei Darussalam,279661,225,0.0804545503305788,0
Bulgaria,1297523,38228,2.946229084185791,3
Burkina Faso,22056,396,1.7954298150163224,2
Burundi,53631,38,0.07085454308142679,0
Cambodia,138719,3056,2.203014727614818,2
Cameroon,124392,1965,1.5796835809376808,2
Canada,3987800,46097,1.1559506494809169,1
Cape Verde,63244,413,0.6530263740433875,1
Central African Republic,15368,113,0.7352941176470588,1
Chad,7679,194,2.526370621174632,3
Chile,5192286,64273,1.2378555418557453,1
China,3378416,18831,0.5573913928894488,1
Colombia,6359093,142339,2.2383538029715875,2
Comoros,9008,161,1.7873001776198933,2
Congo (Brazzaville),25087,388,1.5466177701598436,2
Congo (Kinshasa),95749,1464,1.5289976918818995,2
Costa Rica,1209725,9245,0.7642232738845605,1
Croatia,1269326,17987,1.4170512539725808,1
Cuba,1112643,8530,0.7666430292555654,1
Cyprus,650685,1330,0.2043999784842128,0
Czech Republic,4618256,42491,0.920065929649634,1
C̫te d'Ivoire,88263,834,0.9449033003636857,1
Denmark,3451036,8345,0.24181144444740652,0
Djibouti,15690,189,1.2045889101338432,1
Dominica,15760,74,0.46954314720812185,0
Dominican Republic,660790,4384,0.6634482967357254,1
Ecuador,1057121,36014,3.4068001676250876,3
Egypt,515759,24812,4.810774024302048,5
El Salvador,201785,4230,2.0962906063384295,2
Equatorial Guinea,17229,183,1.062162632770329,1
Eritrea,10189,103,1.0108941014819903,1
Estonia,615433,2946,0.478687363206068,0
Ethiopia,500116,7572,1.5140487406921594,2
Fiji,68898,883,1.2816046909924816,1
Finland,1463644,8967,0.6126489774835957,1
France,39866718,166176,0.41682889471864726,0
Gabon,48981,306,0.6247320389538801,1
Gambia,12598,372,2.95284965867598,3
Georgia,1827537,16971,0.9286268896334247,1
Germany,38249060,168935,0.44167098485557554,0
Ghana,171229,1462,0.8538273306507659,1
Greece,5548487,34779,0.6268195275576928,1
Grenada,19680,238,1.2093495934959348,1
Guatemala,1238247,20182,1.6298848291172923,2
Guinea,38267,467,1.2203726448375884,1
Guinea-Bissau,8960,176,1.9642857142857142,2
Guyana,73075,1298,1.776257269928156,2
Haiti,34202,860,2.51447283784574,3
Holy See (Vatican City State),29,0,0.0,0
Honduras,472250,11111,2.352779248279513,2
Hungary,2196804,48762,2.2196791338690205,2
Iceland,209137,263,0.1257548879442662,0
India,44690738,530779,1.1876711456409603,1
Indonesia,6738225,160941,2.388477677726701,2
"Iran, Islamic Republic of",7572311,144933,1.9139863642684514,2
Iraq,2465545,25375,1.029184216876999,1
Ireland,1704502,8708,0.5108823574275654,1
Israel,4803824,12329,0.2566497024037517,0
Italy,25603510,188322,0.7355319641720999,1
Jamaica,154416,3514,2.275670914931095,2
Japan,33320438,72997,0.21907575164528148,0
Jordan,1746997,14122,0.8083585718807761,1
Kazakhstan,1498668,19071,1.2725300066459015,1
Kenya,342937,5688,1.65861368123008,2
Kiribati,5014,18,0.35899481451934584,0
Korea (North),1,6,600.0,600
Korea (South),30615522,34093,0.11135854551165254,0
Kuwait,663860,2570,0.3871298165275811,0
Kyrgyzstan,206708,2991,1.4469686707819727,1
Lao PDR,218023,758,0.3476697412658298,0
Latvia,976255,6269,0.6421477994991063,1
Lebanon,1232828,10841,0.8793603000580779,1
Lesotho,34790,723,2.0781833860304686,2
Liberia,8090,295,3.646477132262052,4
Libya,507187,6437,1.2691571353366706,1
Liechtenstein,21432,89,0.41526689063083244,0
Lithuania,1307448,9596,0.7339488836267293,1
Luxembourg,317367,1220,0.38441299820082114,0
"Macedonia, Republic of",346852,9662,2.7856261460219347,3
Madagascar,67889,1423,2.0960685825391447,2
Malawi,88707,2686,3.027945934368201,3
Malaysia,5044718,36967,0.7327862528688422,1
Maldives,185738,311,0.16744015764140885,0
Mali,33062,743,2.247292964732926,2
Malta,117610,828,0.7040217668565598,1
Marshall Islands,15649,17,0.10863313949773148,0
Mauritania,63668,997,1.565935791920588,2
Mauritius,296042,1044,0.35265266414900587,0
Mexico,7483444,333188,4.45233504787368,4
"Micronesia, Federated States of",23948,61,0.2547185568732253,0
Moldova,611140,12003,1.9640344274634292,2
Monaco,16121,67,0.41560697227219157,0
Mongolia,1007900,2136,0.21192578628832226,0
Montenegro,288808,2808,0.9722722362261434,1
Morocco,1272490,16296,1.280638747652241,1
Mozambique,233214,2242,0.9613488041026695,1
Myanmar,633950,19490,3.0743749507058915,3
Namibia,171156,4090,2.3896328495641406,2
Nauru,5247,1,0.01905850962454736,0
Nepal,1001154,12020,1.2006144908775274,1
Netherlands,8599981,22990,0.26732617199968234,0
New Zealand,2236114,2550,0.11403711975328627,0
Nicaragua,15655,245,1.5649952091983392,2
Niger,9508,315,3.3129995793016405,3
Nigeria,266598,3155,1.1834297331562877,1
Norway,1479506,5213,0.3523473375572657,0
Oman,399449,4628,1.1585959659430867,1
Pakistan,1577411,30644,1.9426769561008514,2
Palau,5991,9,0.15022533800701052,0
Palestinian Territory,703228,5708,0.8116855415313383,1
Panama,1031731,8609,0.8344229261309393,1
Papua New Guinea,46825,670,1.430859583555793,1
Paraguay,808401,19878,2.458928180445101,2
Peru,4487553,219539,4.8921762038242225,5
Philippines,4077452,66188,1.6232686491465749,2
Poland,6444960,119010,1.8465591718179786,2
Portugal,5570473,26266,0.47152189769163233,0
Qatar,495090,688,0.1389646326930457,0
Republic of Kosovo,273312,3211,1.174847792998478,1
Romania,3346046,67736,2.024359497747491,2
Russian Federation,22075858,388478,1.7597413427826905,2
Rwanda,133194,1468,1.1021517485772632,1
Saint Kitts and Nevis,6597,47,0.7124450507806579,1
Saint Lucia,30004,409,1.3631515797893614,1
Saint Vincent and Grenadines,9589,123,1.2827197830847845,1
Samoa,16607,29,0.17462515806587584,0
San Marino,23616,122,0.51659891598916,1
Sao Tome and Principe,6281,77,1.2259194395796849,1
Saudi Arabia,830127,9618,1.1586178982252113,1
Senegal,88926,1971,2.2164496322785237,2
Serbia,2500142,17881,0.7151993766754048,1
Seychelles,50665,172,0.3394848514753775,0
Sierra Leone,7760,126,1.6237113402061858,2
Singapore,2235294,1722,0.07703684615983401,0
Slovakia,2667551,21035,0.7885509967756943,1
Slovenia,1331707,7078,0.5314982950453816,1
Solomon Islands,24575,153,0.6225839267548322,1
Somalia,27324,1361,4.980969111403894,5
South Africa,4067067,102595,2.522579539505988,3
South Sudan,18368,138,0.7513066202090593,1
Spain,13770429,119479,0.8676490761471556,1
Sri Lanka,672039,16830,2.5043189457754687,3
Sudan,63829,5017,7.860063607451158,8
Suriname,82467,1404,1.702499181490778,2
Swaziland,74267,1425,1.9187526088303013,2
Sweden,2699339,23777,0.880845273602167,1
Switzerland,4413911,14210,0.3219367132685729,0
Syrian Arab Republic (Syria),57467,3164,5.505768528024779,6
"Taiwan, Republic of China",9970937,17672,0.1772350983663822,0
Tajikistan,17786,125,0.7027999550208028,1
"Tanzania, United Republic of",42906,846,1.9717522024891625,2
Thailand,4728182,33918,0.7173581727606932,1
Timor-Leste,23419,138,0.5892651266066016,1
Togo,39396,290,0.7361153416590517,1
Tonga,16810,13,0.07733491969066032,0
Trinidad and Tobago,189918,4355,2.2930949146473742,2
Tunisia,1151126,29341,2.548895603087759,3
Turkey,17042722,101492,0.5955151999780316,1
Tuvalu,2805,0,0.0,0
Uganda,170544,3630,2.128482972136223,2
Ukraine,5711929,119283,2.0883137728077505,2
United Arab Emirates,1053213,2349,0.22303180838064096,0
United Kingdom,24658705,220721,0.8951037777531302,1
United States of America,103802702,1123836,1.0826654589395948,1
Uruguay,1034303,7617,0.7364379683709706,1
Uzbekistan,251247,1637,0.6515500682595216,1
Vanuatu,12014,14,0.1165307141668054,0
Venezuela (Bolivarian Republic),552162,5854,1.0601961018686545,1
Viet Nam,11526994,43186,0.3746510148265888,0
Yemen,11945,2159,18.07450816241105,18
Zambia,343135,4057,1.1823334839057513,1
Zimbabwe,264276,5671,2.1458626587355645,2
